gene	rxnID	formula	annotation_uniprot	main_met_mnx	other_met	annotation_SGD	ec_SGD	protein_name_SGD	ec_uniprot	protein_name_uniprot	Annotation_score	reaction_uniprot	annotation_kegg	ec_kegg	annotation_biocyc	annotation_reactome	TC_number	annotation_TCDB	subunit
YDR508C	r_1935	L-methionine[m] => L-methionine[c]	 High affinity transport of glutamine. Also transport Leu, Ser, Thr, Cys, Met and Asn. {ECO:0000269|PubMed:10467005, ECO:0000269|PubMed:10654085, ECO:0000269|PubMed:8660458}.	MNXM61	none	"High-affinity glutamine permease; also transports Leu, Ser, Thr, Cys, Met and Asn; expression is fully dependent on Grr1p and modulated by the Ssy1p-Ptr3p-Ssy5p (SPS) sensor of extracellular amino acids; GNP1 has a paralog, AGP1, that arose from the whole genome duplication"	NA	High-affinity glutamine permease	NA	High-affinity glutamine permease	4 out of 5	NA	"GNP1; glutamine permease GNP1"	NA	GlutamiNe Permease	NA	2.A.3.10.5	High-affinity glutamine permease - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YOR100C	r_1976	O-acetylcarnitine[c] => O-acetylcarnitine[m]	 Transports carnitine, acetylcarnitine, propionylcarnitine and to a much lower extent medium- and long-chain acylcarnitines. {ECO:0000269|PubMed:10545096, ECO:0000269|PubMed:10622748}.	MNXM1028	none	"Mitochondrial inner membrane carnitine transporter; required for carnitine-dependent transport of acetyl-CoA from peroxisomes to mitochondria during fatty acid beta-oxidation; human homolog SLC25A20 complements yeast null mutant"	NA	Mitochondrial inner membrane carnitine transporter	NA	Mitochondrial carnitine carrier	3 out of 5	NA	"CRC1; carnitine:acyl carnitine antiporter"	NA	CaRnitine Carrier	"Exchange of palmitoylcarnitine and carnitine across the inner mitochondrial membrane;SLC25A29 transports basic amino acids from cytosol to mitochondrial matrix"	2.A.29.8.4	Mitochondrial carnitine carrier - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YJL212C	r_1990	glutathione disulfide[e] => glutathione disulfide[c]	 High affinity transporter for glutathione. Also transports tetra- and pentapeptides like the opioids leucine enkephalin (Tyr-Gly-Gly-Phe-Leu) and methionine enkephalin (Tyr-Gly-Gly_Phe-Met) across the cell membrane. {ECO:0000269|PubMed:10652283, ECO:0000269|PubMed:10788431}.	MNXM151	none	"Proton-coupled oligopeptide transporter of the plasma membrane; also transports glutathione and phytochelatin; member of the OPT family"	NA	Proton-coupled oligopeptide transporter of the plasma membrane	NA	Oligopeptide transporter 1 (High affinity glutathione transporter 1)	4 out of 5	NA	"OPT1, GSH11, HGT1; oligopeptide transporter OPT1"	NA	OligoPeptide Transporter	NA	2.A.67.1.3	HYPOTHETICAL 91.6 KDA PROTEIN IN HXT8-CRT1 INTERGENIC REGION - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YNR013C	r_2008	phosphate[c] <=> phosphate[v]	 Vacuolar phosphate transporter that probably exports phosphate from the vacuolar lumen to the cytosol. {ECO:0000269|PubMed:11779791, ECO:0000269|PubMed:17804816, ECO:0000269|PubMed:20133652}.	MNXM9	none	"Low-affinity vacuolar phosphate transporter; exports phosphate from the vacuolar lumen to the cytosol; regulates phosphate and polyphosphate metabolism; acts upstream of Pho81p in regulation of the PHO pathway; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs); deletion of pho84, pho87, pho89, pho90, and pho91 causes synthetic lethality; transcription independent of Pi and Pho4p activity; overexpression results in vigorous growth"	NA	Low-affinity vacuolar phosphate transporter	NA	Low-affinity phosphate transporter PHO91	5 out of 5	NA	"PHO91; Pho91p"	NA	PHOsphate metabolism	NA	2.A.47.2.2	Uncharacterized transporter YNR013C - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YOR306C	r_2040	riboflavin[e] => riboflavin[c]	 Riboflavin transporter involved in riboflavin (vitamin B2) uptake. Does not act in the transport of monocarboxylic acids across the plasma membrane. {ECO:0000269|PubMed:16204239}.	MNXM270	none	"Plasma membrane riboflavin transporter; facilitates the uptake of vitamin B2; required for FAD-dependent processes; sequence similarity to mammalian monocarboxylate permeases, however mutants are not deficient in monocarboxylate transport"	NA	Plasma membrane riboflavin transporter	NA	Riboflavin transporter MCH5	3 out of 5	NA	"MCH5; Mch5p"	NA	MonoCarboxylate transporter Homologue	NA	2.A.1.13.4	S.cerevisiae chromosome XV reading frame ORF YOR306c - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YDR342C	r_2041	D-ribose[e] => D-ribose[c]	 High-affinity glucose transporter.	MNXM242	none	"High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication"	NA	High-affinity glucose transporter	NA	High-affinity hexose transporter HXT7	5 out of 5	NA	"HXT7; hexose transporter HXT7"	NA	HeXose Transporter	NA	2.A.1.1.31	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1	FALSE
YHR092C	r_2041	D-ribose[e] => D-ribose[c]	 Low-affinity glucose transporter. Can also transport xylose. {ECO:0000269|PubMed:17180689}.	MNXM242	none	"High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication"	NA	High-affinity glucose transporter	NA	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1)	5 out of 5	NA	"HXT4, LGT1, RAG1; hexose transporter HXT4"	NA	HeXose Transporter	NA	2.A.1.1.30	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YDR508C	r_2045	L-serine[c] <=> L-serine[m]	 High affinity transport of glutamine. Also transport Leu, Ser, Thr, Cys, Met and Asn. {ECO:0000269|PubMed:10467005, ECO:0000269|PubMed:10654085, ECO:0000269|PubMed:8660458}.	MNXM53	none	"High-affinity glutamine permease; also transports Leu, Ser, Thr, Cys, Met and Asn; expression is fully dependent on Grr1p and modulated by the Ssy1p-Ptr3p-Ssy5p (SPS) sensor of extracellular amino acids; GNP1 has a paralog, AGP1, that arose from the whole genome duplication"	NA	High-affinity glutamine permease	NA	High-affinity glutamine permease	4 out of 5	NA	"GNP1; glutamine permease GNP1"	NA	GlutamiNe Permease	NA	2.A.3.10.5	High-affinity glutamine permease - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YDR508C	r_2072	L-threonine[c] => L-threonine[m]	 High affinity transport of glutamine. Also transport Leu, Ser, Thr, Cys, Met and Asn. {ECO:0000269|PubMed:10467005, ECO:0000269|PubMed:10654085, ECO:0000269|PubMed:8660458}.	MNXM142	none	"High-affinity glutamine permease; also transports Leu, Ser, Thr, Cys, Met and Asn; expression is fully dependent on Grr1p and modulated by the Ssy1p-Ptr3p-Ssy5p (SPS) sensor of extracellular amino acids; GNP1 has a paralog, AGP1, that arose from the whole genome duplication"	NA	High-affinity glutamine permease	NA	High-affinity glutamine permease	4 out of 5	NA	"GNP1; glutamine permease GNP1"	NA	GlutamiNe Permease	NA	2.A.3.10.5	High-affinity glutamine permease - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YLL052C	r_2094	H2O[c] <=> H2O[er]	 Water channel required to facilitate the transport of water across membranes. Involved in freeze tolerance, osmotolerance and cell flocculation in liquid cultures (By similarity). Is non-functional in most laboratory strains. {ECO:0000250}.	MNXM2	none	"Water channel that mediates water transport across cell membranes; only expressed in proliferating cells; controlled by osmotic signals; may be involved in freeze tolerance; disrupted by a stop codon in many S. cerevisiae strains"	NA	Water channel that mediates water transport across cell membranes	NA	Aquaporin-like protein 2 (Truncated aquaporin-2)	4 out of 5	NA	"AQY2; Aqy2p"	NA	AQuaporin of Yeast	"AQP1 passively tranlocates carbon dioxide from the extracellular region to the cytosol;AQP1 passively translocates carbon dioxide from the cytosol to the extracellular region;Aquaporin-1 passively transports water into cell;Aquaporin-6 passively transports anions out of vesicles;Aquaporin-1 passively transports water out of cell;p-S256-Aquaporin-2 passively transports water into cell;Aquaporin-4 passively transports water out of cell;Phosphorylation of Aquaporin-2 by Protein Kinase A (PKA);Phosphorylation of Aquaporin-2 by Protein Kinase A (PKA);Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells"	NA	NA	FALSE
YPR192W	r_2094	H2O[c] <=> H2O[er]	 Water channel required to facilitate the transport of water across membranes. Involved in sporulation, freeze tolerance and osmotolerance (By similarity). Is non-functional in most laboratory strains. {ECO:0000250, ECO:0000269|PubMed:10092523, ECO:0000269|PubMed:10870101, ECO:0000269|PubMed:9765289}.	MNXM2	none	"Spore-specific water channel; mediates the transport of water across cell membranes, developmentally controlled; may play a role in spore maturation, probably by allowing water outflow, may be involved in freeze tolerance"	NA	Spore-specific water channel	NA	Aquaporin-1	5 out of 5	NA	"AQY1; Aqy1p"	NA	AQuaporin of Yeast	"AQP1 passively tranlocates carbon dioxide from the extracellular region to the cytosol;AQP1 passively translocates carbon dioxide from the cytosol to the extracellular region;Aquaporin-1 passively transports water into cell;Aquaporin-6 passively transports anions out of vesicles;Aquaporin-1 passively transports water out of cell;p-S256-Aquaporin-2 passively transports water into cell;Aquaporin-4 passively transports water out of cell;Phosphorylation of Aquaporin-2 by Protein Kinase A (PKA);Phosphorylation of Aquaporin-2 by Protein Kinase A (PKA);Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells"	NA	NA	FALSE
YDL245C	r_2105	xylitol[e] <=> xylitol[c]	 Probable glucose transporter.	MNXM510	none	"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol, sorbitol and xylitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; similarity to hexose transporters; expression is induced by low levels of glucose and repressed by high levels of glucose"	NA	Putative transmembrane polyol transporter	NA	Hexose transporter HXT15	5 out of 5	NA	"HXT15, HLT2; hexose transporter HXT15"	NA	HeXose Transporter	NA	2.A.1.1.107	Hexose transporter HXT15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT15 PE=1 SV=1	FALSE
YLL043W	r_2105	xylitol[e] <=> xylitol[c]	 Channel protein for glycerol. Has a role in both glycerol influx and efflux. Plays a role in osmoregulation: under osmotic stress the channel is apparently closed to allow accumulation of glycerol in the cell under hyperosmotic conditions.	MNXM510	none	"Aquaglyceroporin, plasma membrane channel; involved in efflux of glycerol and xylitol, and in uptake of acetic acid, arsenite, and antimonite; key factor in maintaining redox balance by mediating passive diffusion of glycerol; phosphorylated by Hog1p MAPK under acetate stress; deletion improves xylose fermentation; regulated by Rgc1p and Ask10p, which are regulated by Hog1p phosphorylation under osmotic stress; phosphorylation by Ypk1p required to maintain an open state"	NA	Aquaglyceroporin, plasma membrane channel	NA	Glycerol uptake/efflux facilitator protein	5 out of 5	NA	"FPS1; Fps1p"	NA	fdp1 Suppressor	NA	1.A.8.5.1	GLYCEROL UPTAKE/EFFLUX FACILITATOR PROTEIN - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YIL013C	r_2107	zymosterol[ce] <=> zymosterol[c]	 Transporter involved in the uptake of sterol. {ECO:0000269|PubMed:12077145}.	MNXM574	none	"ATP-binding cassette (ABC) transporter; multidrug transporter involved in multiple drug resistance; mediates sterol uptake when sterol biosynthesis is compromised; regulated by Pdr1p; required for anaerobic growth; PDR11 has a paralog, AUS1, that arose from the whole genome duplication"	NA	ATP-binding cassette (ABC) transporter	NA	ATP-dependent permease PDR11	4 out of 5	NA	"PDR11; ATP-binding cassette multidrug transporter PDR11"	NA	Pleiotropic Drug Resistance	NA	3.A.1.205.8	ATP-dependent permease PDR11 - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YOR011W	r_2107	zymosterol[ce] <=> zymosterol[c]	 Transporter involved in the uptake of sterol. {ECO:0000269|PubMed:12077145}.	MNXM574	none	"Plasma membrane sterol transporter of the ATP-binding cassette family; required, along with Pdr11p, for uptake of exogenous sterols and their incorporation into the plasma membrane; activity is stimulated by phosphatidylserine; sterol uptake is required for anaerobic growth because sterol biosynthesis requires oxygen; AUS1 has a paralog, PDR11, that arose from the whole genome duplication"	NA	Plasma membrane sterol transporter of the ATP-binding cassette family	NA	ATP-dependent permease AUS1	3 out of 5	NA	"AUS1; ATP-binding cassette sterol transporter AUS1"	NA	ABC protein involved in Uptake of Sterols	NA	3.A.1.205.15	ATP-dependent permease AUS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AUS1 PE=1 SV=1	FALSE
YNL065W	r_2190	butyrate[e] <=> butyrate[c]	 Probable transporter that confers resistance to short-chain monocarboxylic acids and quinidine. {ECO:0000269|PubMed:11922628}.	MNXM458	none	"Plasma membrane transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; confers resistance to short-chain monocarboxylic acids and quinidine; involved in the excretion of excess amino acids; AQR1 has a paralog, QDR1, that arose from the whole genome duplication; relocalizes from plasma membrane to cytoplasm upon DNA replication stress"	NA	Plasma membrane transporter of the major facilitator superfamily	NA	Probable transporter AQR1	4 out of 5	NA	"AQR1; Aqr1p"	NA	Acids Quinidine Resistance	NA	2.A.1.2.36	Probable transporter AQR1 - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YNL065W	r_2191	hexanoate[e] <=> hexanoate[c]	 Probable transporter that confers resistance to short-chain monocarboxylic acids and quinidine. {ECO:0000269|PubMed:11922628}.	MNXM1653	none	"Plasma membrane transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; confers resistance to short-chain monocarboxylic acids and quinidine; involved in the excretion of excess amino acids; AQR1 has a paralog, QDR1, that arose from the whole genome duplication; relocalizes from plasma membrane to cytoplasm upon DNA replication stress"	NA	Plasma membrane transporter of the major facilitator superfamily	NA	Probable transporter AQR1	4 out of 5	NA	"AQR1; Aqr1p"	NA	Acids Quinidine Resistance	NA	2.A.1.2.36	Probable transporter AQR1 - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YKL188C	r_2231	oleate[c] <=> oleate[p]	 Involved in the import of activated long-chain fatty acids from the cytosol to the peroxisomal matrix. {ECO:0000269|PubMed:8670886}.	MNXM306	none	"Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa1p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transportesr ABCD1 and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant"	NA	Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa1p	NA	Peroxisomal long-chain fatty acid import protein 1 (Peroxisomal ABC transporter 2)	5 out of 5	NA	"PXA2, PAT1; ATP-binding cassette long-chain fatty acid transporter PXA2"	NA	PeroXisomal ABC-transporter	NA	3.A.1.203.2	Peroxisomal long-chain fatty acid import protein 1 (Peroxisomal ABC transporter 2) - Saccharomyces cerevisiae (Baker's yeast).	TRUE
YPL147W	r_2231	oleate[c] <=> oleate[p]	 Involved in the import of activated long-chain fatty acids from the cytosol to the peroxisomal matrix. {ECO:0000269|PubMed:8670886}.	MNXM306	none	"Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa2p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transporters ABCD1and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant"	NA	Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa2p	NA	Peroxisomal long-chain fatty acid import protein 2 (Peroxisomal ABC transporter 1)	5 out of 5	NA	"PXA1, LPI1, PAL1, PAT2, SSH2; ATP-binding cassette long-chain fatty acid transporter PXA1"	NA	PeroXisomal ABC-transporter	"Translocation of tetracosahexaenoyl-CoA to peroxisomes;Translocation of tetracosapentaenoyl-CoA to peroxisomes;ABCD1-3 dimers transfer LCFAs from cytosol to peroxisomal matrix;ABCD1-3 dimers transfer LCFAs from cytosol to peroxisomal matrix;ABCD1-3 dimers transfer LCFAs from cytosol to peroxisomal matrix;Peroxisomal uptake of very long-chain fatty acyl CoA;ABCD4 may transport Cbl from lysosomal lumen to cytosol"	3.A.1.203.6	"Peroxisomal long-chain fatty acid import protein 1 (Peroxisomal ABC transporter 2) - Saccharomyces cerevisiae (Baker's yeast).;Peroxisomal long-chain fatty acid import protein 2 OS=Saccharomyces cerevisiae GN=PXA1 PE=1 SV=2"	TRUE
YLL052C	r_3526	H2O[c] <=> H2O[erm]	 Water channel required to facilitate the transport of water across membranes. Involved in freeze tolerance, osmotolerance and cell flocculation in liquid cultures (By similarity). Is non-functional in most laboratory strains. {ECO:0000250}.	MNXM2	none	"Water channel that mediates water transport across cell membranes; only expressed in proliferating cells; controlled by osmotic signals; may be involved in freeze tolerance; disrupted by a stop codon in many S. cerevisiae strains"	NA	Water channel that mediates water transport across cell membranes	NA	Aquaporin-like protein 2 (Truncated aquaporin-2)	4 out of 5	NA	"AQY2; Aqy2p"	NA	AQuaporin of Yeast	"AQP1 passively tranlocates carbon dioxide from the extracellular region to the cytosol;AQP1 passively translocates carbon dioxide from the cytosol to the extracellular region;Aquaporin-1 passively transports water into cell;Aquaporin-6 passively transports anions out of vesicles;Aquaporin-1 passively transports water out of cell;p-S256-Aquaporin-2 passively transports water into cell;Aquaporin-4 passively transports water out of cell;Phosphorylation of Aquaporin-2 by Protein Kinase A (PKA);Phosphorylation of Aquaporin-2 by Protein Kinase A (PKA);Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells"	NA	NA	FALSE
YPR192W	r_3526	H2O[c] <=> H2O[erm]	 Water channel required to facilitate the transport of water across membranes. Involved in sporulation, freeze tolerance and osmotolerance (By similarity). Is non-functional in most laboratory strains. {ECO:0000250, ECO:0000269|PubMed:10092523, ECO:0000269|PubMed:10870101, ECO:0000269|PubMed:9765289}.	MNXM2	none	"Spore-specific water channel; mediates the transport of water across cell membranes, developmentally controlled; may play a role in spore maturation, probably by allowing water outflow, may be involved in freeze tolerance"	NA	Spore-specific water channel	NA	Aquaporin-1	5 out of 5	NA	"AQY1; Aqy1p"	NA	AQuaporin of Yeast	"AQP1 passively tranlocates carbon dioxide from the extracellular region to the cytosol;AQP1 passively translocates carbon dioxide from the cytosol to the extracellular region;Aquaporin-1 passively transports water into cell;Aquaporin-6 passively transports anions out of vesicles;Aquaporin-1 passively transports water out of cell;p-S256-Aquaporin-2 passively transports water into cell;Aquaporin-4 passively transports water out of cell;Phosphorylation of Aquaporin-2 by Protein Kinase A (PKA);Phosphorylation of Aquaporin-2 by Protein Kinase A (PKA);Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells"	NA	NA	FALSE
YKR039W	r_3545	L-serine[c] <=> L-serine[erm]	 General amino-acid permease involved in the uptake of all the naturally occurring L-amino-acids, related compounds such as ornithine and citrulline, some D-amino acids, toxic amino acid analogs such as azetidine-2-carboxylate, and the polyamines putrescine and spermidine (PubMed:5474888, PubMed:10467005, PubMed:10373490, PubMed:10953083, PubMed:14968425, PubMed:15707981). Senses its transport substrates to set an appropriate level of transporter activity at the cell surface (PubMed:21471002). Required for FLO11 expression and invasive growth (PubMed:22844449). {ECO:0000269|PubMed:10373490, ECO:0000269|PubMed:10467005, ECO:0000269|PubMed:10953083, ECO:0000269|PubMed:14968425, ECO:0000269|PubMed:15707981, ECO:0000269|PubMed:21471002, ECO:0000269|PubMed:22844449, ECO:0000269|PubMed:5474888}.	MNXM53	none	"General amino acid permease; Gap1p senses the presence of amino acid substrates to regulate localization to the plasma membrane when needed; essential for invasive growth"	NA	General amino acid permease	NA	General amino-acid permease GAP1	5 out of 5	NA	"GAP1; amino acid permease GAP1"	NA	General Amino acid Permease	NA	2.A.3.10.2	General amino-acid permease GAP1 - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YLL052C	r_3604	H2O[c] <=> H2O[ce]	 Water channel required to facilitate the transport of water across membranes. Involved in freeze tolerance, osmotolerance and cell flocculation in liquid cultures (By similarity). Is non-functional in most laboratory strains. {ECO:0000250}.	MNXM2	none	"Water channel that mediates water transport across cell membranes; only expressed in proliferating cells; controlled by osmotic signals; may be involved in freeze tolerance; disrupted by a stop codon in many S. cerevisiae strains"	NA	Water channel that mediates water transport across cell membranes	NA	Aquaporin-like protein 2 (Truncated aquaporin-2)	4 out of 5	NA	"AQY2; Aqy2p"	NA	AQuaporin of Yeast	"AQP1 passively tranlocates carbon dioxide from the extracellular region to the cytosol;AQP1 passively translocates carbon dioxide from the cytosol to the extracellular region;Aquaporin-1 passively transports water into cell;Aquaporin-6 passively transports anions out of vesicles;Aquaporin-1 passively transports water out of cell;p-S256-Aquaporin-2 passively transports water into cell;Aquaporin-4 passively transports water out of cell;Phosphorylation of Aquaporin-2 by Protein Kinase A (PKA);Phosphorylation of Aquaporin-2 by Protein Kinase A (PKA);Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells"	NA	NA	FALSE
YLL053C	r_3604	H2O[c] <=> H2O[ce]	NA	MNXM2	none	"Putative protein; in the Sigma 1278B strain background YLL053C is contiguous with AQY2 which encodes an aquaporin"	NA	Putative protein	NA	Putative uncharacterized protein YLL053C	2 out of 5	NA	hypothetical protein	NA	YLL053C	"AQP1 passively tranlocates carbon dioxide from the extracellular region to the cytosol;AQP1 passively translocates carbon dioxide from the cytosol to the extracellular region;Aquaporin-1 passively transports water into cell;Aquaporin-6 passively transports anions out of vesicles;Aquaporin-1 passively transports water out of cell;p-S256-Aquaporin-2 passively transports water into cell;Aquaporin-4 passively transports water out of cell;Phosphorylation of Aquaporin-2 by Protein Kinase A (PKA);Phosphorylation of Aquaporin-2 by Protein Kinase A (PKA);Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells"	NA	NA	FALSE
YPR192W	r_3604	H2O[c] <=> H2O[ce]	 Water channel required to facilitate the transport of water across membranes. Involved in sporulation, freeze tolerance and osmotolerance (By similarity). Is non-functional in most laboratory strains. {ECO:0000250, ECO:0000269|PubMed:10092523, ECO:0000269|PubMed:10870101, ECO:0000269|PubMed:9765289}.	MNXM2	none	"Spore-specific water channel; mediates the transport of water across cell membranes, developmentally controlled; may play a role in spore maturation, probably by allowing water outflow, may be involved in freeze tolerance"	NA	Spore-specific water channel	NA	Aquaporin-1	5 out of 5	NA	"AQY1; Aqy1p"	NA	AQuaporin of Yeast	"AQP1 passively tranlocates carbon dioxide from the extracellular region to the cytosol;AQP1 passively translocates carbon dioxide from the cytosol to the extracellular region;Aquaporin-1 passively transports water into cell;Aquaporin-6 passively transports anions out of vesicles;Aquaporin-1 passively transports water out of cell;p-S256-Aquaporin-2 passively transports water into cell;Aquaporin-4 passively transports water out of cell;Phosphorylation of Aquaporin-2 by Protein Kinase A (PKA);Phosphorylation of Aquaporin-2 by Protein Kinase A (PKA);Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water into cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells;Aquaporins passively transport water out of cells"	NA	NA	FALSE
YCR037C	r_3605	phosphate[c] <=> phosphate[ce]	 Involved in the uptake of inorganic phosphate.	MNXM9	none	"Low-affinity inorganic phosphate (Pi) transporter; acts upstream of Pho81p in regulation of the PHO pathway; expression is independent of Pi concentration and Pho4p activity; contains 12 membrane-spanning segments; PHO87 has a paralog, PHO90, that arose from the whole genome duplication"	NA	Low-affinity inorganic phosphate (Pi) transporter	NA	Inorganic phosphate transporter PHO87	4 out of 5	NA	"PHO87; SPX domain-containing inorganic phosphate transporter"	NA	PHOsphate metabolism	NA	2.A.47.2.1	INORGANIC PHOSPHATE TRANSPORTER PHO87 - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YJL198W	r_3605	phosphate[c] <=> phosphate[ce]	 Low-affinity phosphate transporter involved in the control of cellular phosphate levels. {ECO:0000269|PubMed:11779791, ECO:0000269|PubMed:20133652}.	MNXM9	none	"Low-affinity phosphate transporter; acts upstream of Pho81p in regulation of the PHO pathway; deletion of pho84, pho87, pho89, pho90, and pho91 causes synthetic lethality; transcription independent of Pi and Pho4p activity; overexpression results in vigorous growth; PHO90 has a paralog, PHO87, that arose from the whole genome duplication"	NA	Low-affinity phosphate transporter	NA	Low-affinity phosphate transporter PHO90	4 out of 5	NA	"PHO90; SPX domain-containing inorganic phosphate transporter"	NA	PHOsphate metabolism	NA	2.A.47.2.3	Low-affinity phosphate transporter PHO90 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO90 PE=1 SV=1	FALSE
YML123C	r_3605	phosphate[c] <=> phosphate[ce]	 High-affinity transporter for external inorganic phosphate. Is not an essential protein, since a constitutive, low affinity pI transporter exists in yeast.	MNXM9	none	"High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity"	NA	High-affinity inorganic phosphate (Pi) transporter	NA	Inorganic phosphate transporter PHO84	5 out of 5	NA	"PHO84; phosphate transporter PHO84"	NA	PHOsphate metabolism	NA	2.A.1.9.1	Inorganic phosphate transporter PHO84 - Saccharomyces cerevisiae (Baker's yeast).	FALSE
